키워드,검색수PC,검색수M,클릭수PC,클릭수M,클릭률PC,클릭률M,광고수,경쟁정도
챗지피티,3145200,5818300,7,높음,189.1,1391.5,0.01,0.03
챗GPT,2008200,2478300,7,높음,141.6,563.4,0.01,0.03
CHATGPT,1025100,890200,7,높음,96.9,248.9,0.01,0.03
내일배움카드,88700,172500,10,높음,87.0,691.6,0.11,0.43
AI,44600,104500,10,높음,53.2,553.1,0.13,0.57
내일배움카드신청,24300,64900,10,높음,13.0,187.6,0.06,0.31
ADSP,37200,60400,9,높음,27.4,74.3,0.08,0.13
CBT,66800,55400,5,중간,42.0,116.0,0.07,0.22
국민내일배움카드,17300,42400,10,높음,15.6,140.7,0.1,0.35
ADSP시험일정,11600,36000,9,높음,4.0,47.6,0.04,0.14
ITQ자격증,15400,33500,10,높음,19.2,116.2,0.13,0.36
국비지원교육,9130,25900,10,높음,42.2,338.6,0.48,1.39
내일배움카드교육,10000,20500,10,높음,28.2,223.0,0.29,1.15
자기계발,8170,20500,9,높음,1.7,16.3,0.03,0.09
DART,59700,19800,7,중간,1.4,5.8,0.01,0.04
로봇,8330,19800,10,높음,5.9,47.4,0.08,0.26
평생교육원,10000,18900,10,높음,187.4,376.0,1.94,2.1
CNN,8590,16600,2,낮음,2.7,30.3,0.04,0.2
SQLD,13100,15600,10,높음,9.2,25.0,0.08,0.17
R,8250,15300,3,중간,2.0,17.6,0.03,0.13
C,4560,15000,6,중간,2.1,20.3,0.05,0.15
빅데이터분석기사,10000,13200,10,높음,15.7,76.6,0.17,0.62
국비지원,6870,12700,10,높음,21.6,88.2,0.33,0.73
VR,3470,12000,8,높음,4.5,28.0,0.14,0.26
자율주행,4540,11700,10,높음,2.1,16.6,0.05,0.16
자기개발,5870,11400,10,높음,1.4,10.6,0.03,0.1
파이썬,16000,10700,10,높음,10.7,35.6,0.07,0.36
